0,-0.0900154,-0.280793;0.190777
0,-0.0175881,0.238368;-0.255956
0,-1.22,-0.708969;-0.511032
0,-0.259361,0.157498;-0.416859
0,0.277256,0.415663;-0.138407
0,0.488784,0.600331;-0.111547
1,-0.220405,-0.0907992;-0.129606
0,0.300557,0.0659021;0.234655
0,0.200499,0.187517;0.0129824
1,-0.20653,-0.214755;0.00822481
0,1.4364,1.2115;0.224899
0,-0.311449,-0.101076;-0.210373
1,0.209604,0.192452;0.0171528
0,0.214359,0.0814685;0.132891
0,0.300557,0.210686;0.0898705
1,0.11186,-0.0161467;0.128007
1,0.460908,0.293657;0.167251
1,-0.178173,0.185174;-0.363347
1,-0.169448,-0.181467;0.012019
0,-1.07293,-0.181883;-0.891051
0,0.200499,0.275902;-0.0754035
2,-0.269624,-0.0347086;-0.234915
0,0.0410426,0.0287619;0.0122806
0,0.0610535,0.10135;-0.0402964
2,0.214359,0.0998923;0.114467
0,-0.0338401,-0.014401;-0.0194391
0,0.21959,0.156835;0.0627553
1,0.0708581,-0.290394;0.361252
0,-0.266164,-0.560654;0.29449
1,1.14565,0.696774;0.448877
1,0.103006,0.0437945;0.059212
1,0.74236,0.278762;0.463599
2,0.14063,0.169665;-0.0290346
0,2.58843e-05,0.180839;-0.180813
2,0.300557,0.265663;0.0348936
1,-0.0338401,0.0838033;-0.117643
1,-0.178173,0.0878673;-0.26604
2,0.169719,0.172125;-0.00240586
0,0.210972,0.251603;-0.0406306
0,0.171049,0.381577;-0.210528
2,0.0040066,-0.21727;0.221277
1,-0.693716,-0.349967;-0.343749
0,-0.121748,0.232959;-0.354707
3,-0.235088,-0.217104;-0.0179841
1,0.166351,-0.0895362;0.255887
3,-0.429855,-0.133239;-0.296617
0,0.385423,0.468871;-0.0834485
2,-0.394178,-0.343737;-0.050441
1,-0.175101,0.17231;-0.34741
2,-0.968856,-0.370894;-0.597963
2,1.72761,0.56752;1.16009
0,0.00160335,0.261082;-0.259478
3,0.0977582,0.119825;-0.0220673
1,0.030862,0.165344;-0.134482
1,0.272907,0.314241;-0.0413332
3,-0.220405,-0.0894425;-0.130962
2,0.355708,0.420737;-0.0650289
2,3.06145,3.01552;0.0459269
3,-0.0338401,0.0540006;-0.0878408
2,-0.214572,-0.11265;-0.101922
1,0.296783,-4.03064;4.32742
2,0.300557,0.0199461;0.280611
4,0.535521,0.278005;0.257516
1,0.296033,0.0606954;0.235337
1,0.0410426,0.0263294;0.0147131
3,-0.192959,-0.0478251;-0.145134
4,-0.515929,-0.0562969;-0.459632
1,-0.259361,-0.276896;0.0175345
2,-0.0532757,0.0987069;-0.151983
2,-1.43721,-2.51007;1.07286
1,0.735568,0.66444;0.0711281
2,0.214359,0.0785805;0.135779
4,-0.975988,-0.869454;-0.106533
3,-0.178173,-0.288579;0.110406
3,-3.56739,-1.75592;-1.81146
4,-1.27056,-1.16942;-0.101143
3,0.618853,0.509046;0.109807
1,-1.74193,-2.01384;0.271909
3,0.214359,-0.123142;0.337502
2,0.0708581,-0.0679294;0.138787
2,0.460908,-0.273981;0.734889
3,-0.668639,0.0758384;-0.744478
1,0.300557,0.113858;0.186698
5,0.214359,-0.139174;0.353533
5,0.214359,-0.19718;0.411539
3,0.169719,0.206148;-0.0364297
3,-0.159137,-0.0704137;-0.0887234
3,0.284018,0.23753;0.0464876
2,0.460908,0.828526;-0.367618
3,-0.0532757,-0.157473;0.104197
